first_name,last_name,email,major,year
Yara,Fawzy,yara.fawzy@student.aiet.edu,DS,1
Ziad,Hamdy,ziad.hamdy@student.aiet.edu,IN,1
Salma,Rashad,salma.rashad@student.aiet.edu,DS,1
Kareem,Shehata,kareem.shehata@student.aiet.edu,IN,1
Jana,Tawfik,jana.tawfik@student.aiet.edu,DS,1
Adham,Barakat,adham.barakat@student.aiet.edu,IN,1
Nada,Fouad,nada.fouad@student.aiet.edu,DS,1
Seif,Gouda,seif.gouda@student.aiet.edu,IN,1
Farida,Hakim,farida.hakim@student.aiet.edu,DS,1
Mahmoud,Iskandar,mahmoud.iskandar@student.aiet.edu,IN,1
Malak,Jaber,malak.jaber@student.aiet.edu,DS,2
Youssef,Karam,youssef.karam@student.aiet.edu,IN,2
Hana,Labib,hana.labib@student.aiet.edu,DS,2
Ali,Mazen,ali.mazen@student.aiet.edu,IN,2
Lina,Nassef,lina.nassef@student.aiet.edu,DS,2
Fares,Osman,fares.osman@student.aiet.edu,IN,2
Dalia,Raouf,dalia.raouf@student.aiet.edu,DS,2
Khaled,Sabry,khaled.sabry@student.aiet.edu,IN,2
Rana,Tantawy,rana.tantawy@student.aiet.edu,DS,2
Ayman,Wahba,ayman.wahba@student.aiet.edu,IN,2
Habiba,Yehia,habiba.yehia@student.aiet.edu,DS,3
Bahaa,Zein,bahaa.zein@student.aiet.edu,IN,3
Shahd,Anwar,shahd.anwar@student.aiet.edu,DS,3
Taha,Badr,taha.badr@student.aiet.edu,IN,3
Roaa,Galal,roaa.galal@student.aiet.edu,DS,3
Abdallah,Hosny,abdallah.hosny@student.aiet.edu,IN,3
Farah,Kamel,farah.kamel@student.aiet.edu,DS,3
Hussein,Latif,hussein.latif@student.aiet.edu,IN,3
Sama,Medhat,sama.medhat@student.aiet.edu,DS,3
Moataz,Naguib,moataz.naguib@student.aiet.edu,IN,3
Perihan,Oraby,perihan.oraby@student.aiet.edu,DS,4
Ramzy,Qassem,ramzy.qassem@student.aiet.edu,IN,4
Judy,Refaat,judy.refaat@student.aiet.edu,DS,4
Shady,Sameh,shady.sameh@student.aiet.edu,IN,4
Nadine,Tamer,nadine.tamer@student.aiet.edu,DS,4
Waleed,Uthman,waleed.uthman@student.aiet.edu,IN,4
Amina,Wafik,amina.wafik@student.aiet.edu,DS,4
Haytham,Yasser,haytham.yasser@student.aiet.edu,IN,4
Laila,Zahran,laila.zahran@student.aiet.edu,DS,4
Bassel,Ashour,bassel.ashour@student.aiet.edu,IN,4
